document_id,page,table,reasoning_type,value_column,return_column,question_id,expected_answer,expected_row,solver_answer,solver_row,is_correct,table_expected_rows,table_solver_rows,table_expected_row_count,table_solver_row_count
B-train-00000,1,1,argmax,Tuyển mới,Phòng ban,B-train-00000-q04,Kế toán,2,Kế toán,2,True,2|3|4|5,2|3|4|5,4,4
B-train-00000,1,1,argmin,Hiện có,Phòng ban,B-train-00000-q07,Hành chính,5,Hành chính,5,True,2|3|4|5,2|3|4|5,4,4
B-train-00000,1,1,argmin,Định biên,Phòng ban,B-train-00000-q09,Công nghệ,4,Công nghệ,4,True,2|3|4|5,2|3|4|5,4,4
B-train-00000,1,1,argmax,Định biên,Phòng ban,B-train-00000-q10,Vận hành,3,Vận hành,3,True,2|3|4|5,2|3|4|5,4,4
B-train-00001,1,1,argmin,Diện tích (ha),Địa bàn,B-train-00001-q02,Hà Nội,1,Hà Nội,1,True,1|5,1|5,2,2
B-train-00001,1,1,argmin,Sản lượng (tấn),Địa bàn,B-train-00001-q04,Hà Nội,1,Hà Nội,1,True,1|5,1|5,2,2
B-train-00001,1,1,argmax,Diện tích (ha),Địa bàn,B-train-00001-q06,Đồng Nai,5,Đồng Nai,5,True,1|5,1|5,2,2
B-train-00002,1,1,argmin,Tổn thất,Trạm,B-train-00002-q02,Trạm 110kV Bắc,1,Trạm 110kV Bắc,1,True,1|3,1|3,2,2
B-train-00002,1,1,argmin,Công suất đỉnh,Trạm,B-train-00002-q06,Trạm Nam Sông,3,Trạm Nam Sông,3,True,1|3,1|3,2,2
B-train-00002,1,1,argmax,Tổn thất,Trạm,B-train-00002-q09,Trạm Nam Sông,3,Trạm Nam Sông,3,True,1|3,1|3,2,2
B-train-00002,1,1,argmax,Sự cố,Trạm,B-train-00002-q10,Trạm 110kV Bắc,1,Trạm 110kV Bắc,1,True,1|3,1|3,2,2
B-train-00003,1,1,argmax,Kế hoạch,Khu vực,B-train-00003-q01,Đồng bằng sông Cửu Long,5,Đồng bằng sông Cửu Long,5,True,2|5|6,5|6,3,2
B-train-00003,1,1,argmax,Tỷ lệ,Khu vực,B-train-00003-q04,Miền Bắc,6,Miền Bắc,6,True,2|5|6,5|6,3,2
B-train-00003,1,1,argmin,Chênh lệch,Khu vực,B-train-00003-q07,Đồng bằng sông Cửu Long,5,Đồng bằng sông Cửu Long,5,True,2|5|6,5|6,3,2
B-train-00003,1,1,argmin,Kế hoạch,Khu vực,B-train-00003-q10,Miền Trung,2,Miền Bắc,6,False,2|5|6,5|6,3,2
B-train-00004,1,1,argmin,Giá trúng,Gói thầu,B-train-00004-q02,GT97,4,GT97,4,True,4|5,4|5,2,2
B-train-00004,1,1,argmax,Giá trúng,Gói thầu,B-train-00004-q06,GT40,5,GT40,5,True,4|5,4|5,2,2
B-train-00004,1,1,argmax,Giá dự toán,Gói thầu,B-train-00004-q09,GT40,5,GT40,5,True,4|5,4|5,2,2
B-train-00005,1,1,argmin,Chi phí,Kho/điểm,B-train-00005-q03,Kho Hà Nội,6,Kho Hà Nội,6,True,6|7|8,6|7|8,3,3
B-train-00005,1,1,argmax,Chi phí,Kho/điểm,B-train-00005-q07,Kho Bình Dương,8,Kho Bình Dương,8,True,6|7|8,6|7|8,3,3
B-train-00005,1,1,argmax,Tồn cuối,Kho/điểm,B-train-00005-q09,Kho Đà Nẵng,7,Kho Đà Nẵng,7,True,6|7|8,6|7|8,3,3
B-train-00005,1,1,argmin,Đúng hạn,Kho/điểm,B-train-00005-q10,Kho Đà Nẵng,7,Kho Đà Nẵng,7,True,6|7|8,6|7|8,3,3
B-train-00006,1,1,argmin,Doanh thu,Điểm đến,B-train-00006-q03,Vịnh Hạ Long,1,Vịnh Hạ Long,1,True,1|3|4|5,1|3|4|5,4,4
B-train-00006,1,1,argmax,Khách nội địa,Điểm đến,B-train-00006-q04,Phú Quốc,5,Phú Quốc,5,True,1|3|4|5,1|3|4|5,4,4
B-train-00006,1,1,argmin,Công suất phòng,Điểm đến,B-train-00006-q06,Nha Trang,4,Nha Trang,4,True,1|3|4|5,1|3|4|5,4,4
B-train-00006,1,1,argmax,Khách quốc tế,Điểm đến,B-train-00006-q07,Đà Lạt,3,Đà Lạt,3,True,1|3|4|5,1|3|4|5,4,4
