question_id,quote_pairs,template,question
B-train-00000-q07,0,UNMATCHED,"Trong bảng 1 ở trang 1, Phòng ban nào có Hiện có nhỏ nhất?"
B-train-00000-q09,0,UNMATCHED,"Trong bảng 1 ở trang 1, Phòng ban nào có Định biên nhỏ nhất?"
B-train-00001-q02,0,UNMATCHED,"Trong bảng 1 ở trang 1, Địa bàn nào có Diện tích (ha) nhỏ nhất?"
B-train-00001-q04,0,UNMATCHED,"Trong bảng 1 ở trang 1, Địa bàn nào có Sản lượng (tấn) nhỏ nhất?"
B-train-00002-q02,0,UNMATCHED,"Trong bảng 1 ở trang 1, Trạm nào có Tổn thất nhỏ nhất?"
B-train-00002-q06,0,UNMATCHED,"Trong bảng 1 ở trang 1, Trạm nào có Công suất đỉnh nhỏ nhất?"
B-train-00003-q07,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Chênh lệch nhỏ nhất?"
B-train-00003-q10,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Kế hoạch nhỏ nhất?"
B-train-00004-q02,0,UNMATCHED,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá trúng nhỏ nhất?"
B-train-00005-q03,0,UNMATCHED,"Trong bảng 1 ở trang 1, Kho/điểm nào có Chi phí nhỏ nhất?"
B-train-00005-q10,0,UNMATCHED,"Trong bảng 1 ở trang 1, Kho/điểm nào có Đúng hạn nhỏ nhất?"
B-train-00006-q03,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm đến nào có Doanh thu nhỏ nhất?"
B-train-00006-q06,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm đến nào có Công suất phòng nhỏ nhất?"
B-train-00007-q03,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm bán nào có Lượt khách nhỏ nhất?"
B-train-00007-q10,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm bán nào có Số đơn nhỏ nhất?"
B-train-00008-q07,0,UNMATCHED,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá trúng nhỏ nhất?"
B-train-00008-q10,0,UNMATCHED,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá dự toán nhỏ nhất?"
B-train-00009-q09,0,UNMATCHED,"Trong bảng 1 ở trang 1, Dự án nào có Tiến độ nhỏ nhất?"
B-train-00010-q06,0,UNMATCHED,"Trong bảng 1 ở trang 1, Mã hàng nào có Tồn đầu nhỏ nhất?"
B-train-00011-q06,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm bán nào có Lượt khách nhỏ nhất?"
B-train-00011-q09,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm bán nào có Số đơn nhỏ nhất?"
B-train-00012-q02,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Kế hoạch nhỏ nhất?"
B-train-00012-q10,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Tỷ lệ nhỏ nhất?"
B-train-00013-q08,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Lưu lượng nhỏ nhất?"
B-train-00013-q10,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Phản ánh nhỏ nhất?"
B-train-00014-q04,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm đến nào có Khách nội địa nhỏ nhất?"
B-train-00014-q05,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm đến nào có Doanh thu nhỏ nhất?"
B-train-00015-q01,0,UNMATCHED,"Trong bảng 1 ở trang 1, Chi nhánh nào có Dư nợ nhỏ nhất?"
B-train-00015-q06,0,UNMATCHED,"Trong bảng 1 ở trang 1, Chi nhánh nào có Tăng trưởng nhỏ nhất?"
B-train-00016-q04,0,UNMATCHED,"Trong bảng 1 ở trang 1, Tuyến nào có Doanh thu nhỏ nhất?"
