question_id,quote_pairs,template,question
B-train-00000-q01,3,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Tuyển mới của hai dòng có Phòng ban “Chăm sóc khách hàng” và Phòng ban “Kế toán” và Định biên “30” là bao nhiêu?"
B-train-00000-q05,4,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Hiện có của hai dòng có Phòng ban “Kinh doanh” và Định biên “12” và Phòng ban “Kế toán” và Định biên “30” là bao nhiêu?"
B-train-00001-q01,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Sản lượng (tấn) của hai dòng có Địa bàn “Đồng Nai” và Địa bàn “Lâm Đồng” là bao nhiêu?"
B-train-00001-q05,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Diện tích (ha) của hai dòng có Địa bàn “Đà Nẵng” và Địa bàn “Đồng Nai” là bao nhiêu?"
B-train-00002-q07,3,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Công suất đỉnh của hai dòng có Trạm “Trạm 110kV Bắc” và Sản lượng “15.838” và Trạm “Trạm Nam Sông” là bao nhiêu?"
B-train-00003-q03,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Thực hiện của hai dòng có Khu vực “Tây Nguyên” và Khu vực “Đồng bằng sông Cửu Long” là bao nhiêu?"
B-train-00003-q06,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Kế hoạch của hai dòng có Khu vực “Tây Nguyên” và Khu vực “Đồng bằng sông Cửu Long” là bao nhiêu?"
B-train-00004-q03,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Giá trúng của hai dòng có Gói thầu “GT97” và Gói thầu “GT76” là bao nhiêu?"
B-train-00004-q05,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Giá dự toán của hai dòng có Gói thầu “GT76” và Gói thầu “GT40” là bao nhiêu?"
B-train-00005-q02,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Đơn xử lý của hai dòng có Kho/điểm “Kho Cần Thơ” và Kho/điểm “Kho trung chuyển” là bao nhiêu?"
B-train-00005-q04,3,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Tồn cuối của hai dòng có Kho/điểm “Kho Cần Thơ” và Kho/điểm “Kho Bình Dương” và Đơn xử lý “4955” là bao nhiêu?"
B-train-00006-q09,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Khách nội địa của hai dòng có Điểm đến “Phố cổ Hội An” và Điểm đến “Vịnh Hạ Long” là bao nhiêu?"
B-train-00007-q04,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Lượt khách của hai dòng có Điểm bán “Cửa hàng 01” và Điểm bán “Siêu thị trung tâm” là bao nhiêu?"
B-train-00007-q09,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Giá trị bán của hai dòng có Điểm bán “Siêu thị trung tâm” và Điểm bán “Điểm bán phía Nam” là bao nhiêu?"
B-train-00008-q08,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Giá dự toán của hai dòng có Gói thầu “GT60” và Gói thầu “GT47” là bao nhiêu?"
B-train-00008-q09,2,UNMATCHED,"Trong bảng 1 ở trang 1, tổng Giá trúng của hai dòng có Gói thầu “GT65” và Gói thầu “GT13” là bao nhiêu?"
