question_id,quote_pairs,question
B-train-00103-q06,4,Lấy Diện tích (ha) của dòng có Địa bàn “Hải Phòng” và Cây trồng “Thanh long” ở trang 1 cộng với Diện tích (ha) của dòng có Địa bàn “Cần Thơ” và Cây trồng “Lúa” ở trang 2. Kết quả là bao nhiêu?
B-train-00164-q05,4,Lấy Bồi thường của dòng có Nghiệp vụ “Hàng hóa” và Hợp đồng “726” ở trang 1 cộng với Bồi thường của dòng có Nghiệp vụ “Hàng hóa” và Hợp đồng “622” ở trang 2. Kết quả là bao nhiêu?
B-train-00192-q09,4,Lấy Lũy kế của dòng có Khu vực “Khu vực đô thị” và Thuê bao “7.450” ở trang 1 cộng với Lũy kế của dòng có Khu vực “Cụm BTS-02” và Thuê bao “36.638” ở trang 2. Kết quả là bao nhiêu?
B-train-00214-q07,4,Lấy Giá trị bán của dòng có Điểm bán “Cửa hàng 01” và Lượt khách “3233” ở trang 1 cộng với Giá trị bán của dòng có Điểm bán “Siêu thị trung tâm” và Lượt khách “2305” ở trang 2. Kết quả là bao nhiêu?
B-train-00241-q07,4,Lấy Lũy kế của dòng có Nhóm chế độ “Ốm đau” và Hồ sơ nhận “1585” ở trang 1 cộng với Lũy kế của dòng có Nhóm chế độ “Ốm đau” và Hồ sơ nhận “2195” ở trang 2. Kết quả là bao nhiêu?
B-train-00246-q03,4,Lấy Giải ngân của dòng có Dự án “Trường liên cấp” và Giá trị hợp đồng “4.270” ở trang 1 cộng với Giải ngân của dòng có Dự án “Cầu Đông Thành” và Giá trị hợp đồng “21.630” ở trang 2. Kết quả là bao nhiêu?
B-train-00248-q07,4,Lấy Bồi thường của dòng có Nghiệp vụ “Sức khỏe” và Hợp đồng “518” ở trang 1 cộng với Bồi thường của dòng có Nghiệp vụ “Hàng hóa” và Hợp đồng “837” ở trang 2. Kết quả là bao nhiêu?
B-train-00259-q08,4,Lấy Nhập viện của dòng có Khoa “Ngoại” và Lượt khám “353” ở trang 1 cộng với Nhập viện của dòng có Khoa “Ngoại” và Lượt khám “106” ở trang 2. Kết quả là bao nhiêu?
B-train-00347-q10,4,Lấy Kế hoạch năm của dòng có Khoa “Tai Mũi Họng” và Lượt khám “408” ở trang 1 cộng với Kế hoạch năm của dòng có Khoa “Ngoại” và Lượt khám “266” ở trang 2. Kết quả là bao nhiêu?
B-train-00410-q08,4,Lấy Kỳ trước của dòng có Chi nhánh “Đà Nẵng 01” và Dư nợ “2.760” ở trang 1 cộng với Kỳ trước của dòng có Chi nhánh “Hải Phòng 02” và Dư nợ “2.670” ở trang 2. Kết quả là bao nhiêu?
B-train-00426-q06,4,Lấy Kỳ này của dòng có Khu vực “Cụm BTS-01” và Thuê bao “15.350” ở trang 1 cộng với Kỳ này của dòng có Khu vực “Khu vực miền núi” và Thuê bao “51.732” ở trang 2. Kết quả là bao nhiêu?
B-train-00502-q04,4,Lấy Trễ hạn của dòng có Nhóm chế độ “Tai nạn lao động” và Hồ sơ nhận “1588” ở trang 1 cộng với Trễ hạn của dòng có Nhóm chế độ “Tai nạn lao động” và Hồ sơ nhận “1542” ở trang 2. Kết quả là bao nhiêu?
B-train-00525-q01,4,Lấy Kế hoạch năm của dòng có Nghiệp vụ “Xe cơ giới” và Hợp đồng “841” ở trang 1 cộng với Kế hoạch năm của dòng có Nghiệp vụ “Tài sản” và Hợp đồng “80” ở trang 2. Kết quả là bao nhiêu?
