document_id,page,table,value_column,reasoning_type,questions,correct,expected_rows,solver_rows,expected_row_count,solver_row_count
B-train-00000,1,1,Tuyển mới,argmax,1,1,2,2,1,1
B-train-00000,1,1,Hiện có,argmin,1,1,5,5,1,1
B-train-00000,1,1,Định biên,argmin,1,1,4,4,1,1
B-train-00000,1,1,Định biên,argmax,1,1,3,3,1,1
B-train-00001,1,1,Diện tích (ha),argmin,1,1,1,1,1,1
B-train-00001,1,1,Sản lượng (tấn),argmin,1,1,1,1,1,1
B-train-00001,1,1,Diện tích (ha),argmax,1,1,5,5,1,1
B-train-00002,1,1,Tổn thất,argmin,1,1,1,1,1,1
B-train-00002,1,1,Công suất đỉnh,argmin,1,1,3,3,1,1
B-train-00002,1,1,Tổn thất,argmax,1,1,3,3,1,1
B-train-00002,1,1,Sự cố,argmax,1,1,1,1,1,1
B-train-00003,1,1,Kế hoạch,argmax,1,1,5,5,1,1
B-train-00003,1,1,Tỷ lệ,argmax,1,1,6,6,1,1
B-train-00003,1,1,Chênh lệch,argmin,1,1,5,5,1,1
B-train-00003,1,1,Kế hoạch,argmin,1,0,2,6,1,1
B-train-00004,1,1,Giá trúng,argmin,1,1,4,4,1,1
B-train-00004,1,1,Giá trúng,argmax,1,1,5,5,1,1
B-train-00004,1,1,Giá dự toán,argmax,1,1,5,5,1,1
B-train-00005,1,1,Chi phí,argmin,1,1,6,6,1,1
B-train-00005,1,1,Chi phí,argmax,1,1,8,8,1,1
B-train-00005,1,1,Tồn cuối,argmax,1,1,7,7,1,1
B-train-00005,1,1,Đúng hạn,argmin,1,1,7,7,1,1
B-train-00006,1,1,Doanh thu,argmin,1,1,1,1,1,1
B-train-00006,1,1,Khách nội địa,argmax,1,1,5,5,1,1
B-train-00006,1,1,Công suất phòng,argmin,1,1,4,4,1,1
B-train-00006,1,1,Khách quốc tế,argmax,1,1,3,3,1,1
B-train-00007,1,1,Hoàn trả,argmax,1,1,5,5,1,1
B-train-00007,1,1,Lượt khách,argmin,1,1,2,2,1,1
B-train-00007,1,1,Giá trị bán,argmax,1,1,2,2,1,1
B-train-00007,1,1,Số đơn,argmin,1,1,4,4,1,1
B-train-00008,1,1,Giá trúng,argmax,1,1,5,5,1,1
B-train-00008,1,1,Giá dự toán,argmax,1,1,5,5,1,1
B-train-00008,1,1,Giá trúng,argmin,1,1,2,2,1,1
B-train-00008,1,1,Giá dự toán,argmin,1,1,2,2,1,1
B-train-00009,1,1,Tiến độ,argmax,1,1,1,1,1,1
B-train-00009,1,1,Tiến độ,argmin,1,1,7,7,1,1
B-train-00009,1,1,Giải ngân,argmax,1,1,2,2,1,1
B-train-00010,1,1,Xuất,argmax,1,1,5,5,1,1
B-train-00010,1,1,Tồn đầu,argmin,1,1,5,5,1,1
B-train-00010,1,1,Tồn đầu,argmax,1,1,4,4,1,1
B-train-00011,1,1,Giá trị bán,argmax,1,1,4,4,1,1
B-train-00011,1,1,Lượt khách,argmax,1,1,5,5,1,1
B-train-00011,1,1,Lượt khách,argmin,1,1,1,1,1,1
B-train-00011,1,1,Số đơn,argmin,1,1,1,1,1,1
B-train-00012,1,1,Kế hoạch,argmin,1,1,4,4,1,1
B-train-00012,1,1,Chênh lệch,argmax,1,1,3,3,1,1
B-train-00012,1,1,Thực hiện,argmax,1,1,5,5,1,1
B-train-00012,1,1,Tỷ lệ,argmin,1,1,2,2,1,1
B-train-00013,1,1,Tỷ lệ rớt cuộc,argmax,1,1,2,2,1,1
B-train-00013,1,1,Phản ánh,argmax,1,1,7,7,1,1
B-train-00013,1,1,Lưu lượng,argmin,1,1,3,3,1,1
B-train-00013,1,1,Phản ánh,argmin,1,1,6,6,1,1
B-train-00014,1,1,Khách nội địa,argmin,1,1,2,2,1,1
B-train-00014,1,1,Doanh thu,argmin,1,1,6,6,1,1
B-train-00014,1,1,Khách quốc tế,argmax,1,1,6,6,1,1
B-train-00015,1,1,Dư nợ,argmin,1,0,5,6,1,1
B-train-00015,1,1,Tăng trưởng,argmin,1,1,6,6,1,1
B-train-00015,1,1,Huy động,argmax,1,1,1,1,1,1
B-train-00015,1,1,Tăng trưởng,argmax,1,1,1,1,1,1
B-train-00016,1,1,Doanh thu,argmax,1,1,4,4,1,1
B-train-00016,1,1,Doanh thu,argmin,1,1,5,5,1,1
B-train-00016,1,1,Hành khách,argmax,1,1,4,4,1,1
B-train-00016,1,1,Đúng giờ,argmin,1,1,5,5,1,1
B-train-00017,1,1,Doanh thu,argmin,1,1,6,6,1,1
B-train-00017,1,1,Khách quốc tế,argmax,1,1,5,5,1,1
B-train-00017,1,1,Công suất phòng,argmax,1,1,6,6,1,1
B-train-00017,1,1,Khách quốc tế,argmin,1,1,3,3,1,1
B-train-00018,1,1,COD,argmin,1,1,3,3,1,1
B-train-00018,1,1,BOD5,argmax,1,1,6,6,1,1
B-train-00019,1,1,Lượt khám,argmin,1,0,3,1,1,1
B-train-00019,1,1,Nhập viện,argmin,1,1,3,3,1,1
B-train-00019,1,1,Lượt khám,argmax,1,0,2,7,1,1
B-train-00020,1,1,Doanh thu,argmax,1,1,3,3,1,1
B-train-00020,1,1,Khách quốc tế,argmin,1,1,2,2,1,1
B-train-00020,1,1,Công suất phòng,argmax,1,1,4,4,1,1
B-train-00020,1,1,Công suất phòng,argmin,1,1,7,7,1,1
B-train-00021,1,1,Giá dự toán,argmin,1,1,5,5,1,1
B-train-00021,1,1,Giá trúng,argmax,1,1,3,3,1,1
B-train-00021,1,1,Giá trúng,argmin,1,1,5,5,1,1
B-train-00022,1,1,Kế hoạch,argmin,1,1,2,2,1,1
B-train-00022,1,1,Thực hiện,argmin,1,1,4,4,1,1
B-train-00022,1,1,Thực hiện,argmax,1,1,3,3,1,1
B-train-00022,1,1,Tỷ lệ,argmax,1,1,2,2,1,1
B-train-00023,1,1,Thực hiện,argmin,1,1,2,2,1,1
B-train-00023,1,1,Tỷ lệ,argmin,1,1,2,2,1,1
B-train-00023,1,1,Thực hiện,argmax,1,1,1,1,1,1
B-train-00023,1,1,Chênh lệch,argmax,1,1,5,5,1,1
B-train-00024,1,1,Chi trả,argmax,1,1,2,2,1,1
B-train-00024,1,1,Đã giải quyết,argmax,1,1,3,3,1,1
B-train-00024,1,1,Trễ hạn,argmin,1,1,1,1,1,1
B-train-00024,1,1,Hồ sơ nhận,argmin,1,0,5,7,1,1
B-train-00025,1,1,Trễ hạn,argmin,1,1,4,4,1,1
B-train-00025,1,1,Chi trả,argmin,1,1,3,3,1,1
B-train-00025,1,1,Chi trả,argmax,1,1,2,2,1,1
B-train-00025,1,1,Hồ sơ nhận,argmax,1,1,1,1,1,1
B-train-00026,1,1,Chuyển tuyến,argmax,1,1,4,4,1,1
B-train-00026,1,1,Lượt khám,argmin,1,1,5,5,1,1
B-train-00026,1,1,Lượt khám,argmax,1,1,4,4,1,1
B-train-00027,1,1,Hiện có,argmax,1,1,1,1,1,1
B-train-00027,1,1,Tuyển mới,argmin,1,1,1,1,1,1
B-train-00027,1,1,Định biên,argmin,1,1,5,5,1,1
B-train-00027,1,1,Thiếu/thừa,argmax,1,1,1,1,1,1
B-train-00028,1,1,Giá trị bán,argmin,1,1,6,6,1,1
B-train-00028,1,1,Số đơn,argmax,1,1,2,2,1,1
B-train-00028,1,1,Hoàn trả,argmin,1,1,7,7,1,1
B-train-00029,1,1,Đạt,argmax,1,1,6,6,1,1
B-train-00029,1,1,Tỷ lệ đạt,argmax,1,1,1,1,1,1
B-train-00029,1,1,Thí sinh,argmin,1,1,3,3,1,1
B-train-00030,1,1,Lượt khám,argmin,1,1,5,5,1,1
B-train-00030,1,1,Lượt khám,argmax,1,0,6,2,1,1
B-train-00030,1,1,Chuyển tuyến,argmin,1,1,4,4,1,1
B-train-00031,1,1,Tỷ lệ rớt cuộc,argmax,1,1,3,3,1,1
B-train-00031,1,1,Thuê bao,argmax,1,1,4,4,1,1
B-train-00031,1,1,Lưu lượng,argmin,1,1,4,4,1,1
B-train-00031,1,1,Thuê bao,argmin,1,1,5,5,1,1
B-train-00032,1,1,Khách nội địa,argmax,1,0,3,6,1,1
B-train-00032,1,1,Doanh thu,argmin,1,1,4,4,1,1
B-train-00032,1,1,Khách quốc tế,argmin,1,1,4,4,1,1
B-train-00032,1,1,Doanh thu,argmax,1,1,1,1,1,1
B-train-00033,1,1,Hiện có,argmin,1,1,4,4,1,1
B-train-00033,1,1,Thiếu/thừa,argmax,1,1,1,1,1,1
B-train-00033,1,1,Định biên,argmin,1,1,6,6,1,1
B-train-00033,1,1,Hiện có,argmax,1,1,7,7,1,1
B-train-00034,1,1,pH,argmax,1,1,2,2,1,1
B-train-00034,1,1,pH,argmin,1,1,4,4,1,1
B-train-00034,1,1,COD,argmax,1,1,1,1,1,1
B-train-00034,1,1,COD,argmin,1,1,6,6,1,1
B-train-00035,1,1,Chi phí,argmin,1,1,1,1,1,1
B-train-00035,1,1,Đúng hạn,argmin,1,1,1,1,1,1
B-train-00035,1,1,Đơn xử lý,argmax,1,1,4,4,1,1
B-train-00035,1,1,Đúng hạn,argmax,1,1,3,3,1,1
B-train-00036,1,1,Thực hiện,argmin,1,1,6,6,1,1
B-train-00036,1,1,Chênh lệch,argmax,1,1,5,5,1,1
