question_id,reasoning_type,solver_answer,solver_value,solver_full_row,solver_row_position_ratio,solver_entity_physical_cell_count,solver_seen_before,solver_is_bold,expected_answer,expected_value,expected_full_row,expected_row_position_ratio,expected_entity_physical_cell_count,expected_is_bold,extreme_gap,extreme_gap_ratio,num_logical_rows
B-train-00003-q10,argmin,Miền Bắc,950.0,"Miền Bắc | 950 | 1.810 | 860 | 190,5%",1.0,2,True,False,Miền Trung,1720.0,"Miền Trung | 1.720 | 2.200 | 480 | 127,9%",0.2,1,False,770.0,0.4476744186046512,6
B-train-00015-q01,argmin,Hà Nội 01,930.0,"Hà Nội 01 | 930 | 8.970 | 30 | 4,5%",0.8333333333333334,2,True,False,Cần Thơ 02,2720.0,"Cần Thơ 02 | 2.720 | 5.760 | 80 | 17,9%",0.6666666666666666,1,True,1790.0,0.6580882352941176,7
B-train-00019-q05,argmin,Nội tổng hợp,117.0,Nội tổng hợp | 117 | 21 | 10 | 63 phút,0.0,2,False,False,Nhi,122.0,Nhi | 122 | 14 | 11 | 46 phút,0.3333333333333333,1,True,5.0,0.040983606557377046,7
B-train-00019-q08,argmax,Nội tổng hợp,464.0,Nội tổng hợp | 464 | 57 | 4 | 65 phút,1.0,2,True,False,Ngoại,305.0,Ngoại | 305 | 52 | 10 | 48 phút,0.16666666666666666,1,False,159.0,0.521311475409836,7
B-train-00032-q04,argmax,Vịnh Hạ Long,20396.0,"Vịnh Hạ Long | 20.396 | 2.579 | 68.925 | 74,2%",0.8333333333333334,2,True,False,Đà Lạt,14936.0,"Đà Lạt | 14.936 | 422 | 30.716 | 70,6%",0.3333333333333333,1,False,5460.0,0.36555972147830745,7
B-train-00047-q03,argmin,Trạm 220kV Trung,3743.0,"Trạm 220kV Trung | 3.743 | 3,7% | 417 | 0",0.16666666666666666,2,False,False,Trạm Cao Nguyên,3748.0,"Trạm Cao Nguyên | 3.748 | 8,4% | 949 | 7",0.6666666666666666,1,False,5.0,0.0013340448239060833,7
B-train-00049-q08,argmax,Ngoại,479.0,Ngoại | 479 | 37 | 2 | 58 phút,1.0,2,True,False,Nhi,475.0,Nhi | 475 | 10 | 11 | 18 phút,0.2857142857142857,1,False,4.0,0.008421052631578947,8
B-train-00078-q01,argmax,Kho Hà Nội,6134.0,"Kho Hà Nội | 6134 | 94,0% | 237 | 263.762",0.8333333333333334,2,True,False,Kho Bình Dương,5086.0,"Kho Bình Dương | 5086 | 85,4% | 230 | 101.720",0.3333333333333333,1,False,1048.0,0.2060558395595753,7
B-train-00082-q07,argmin,Hà Nội 01,1270.0,"Hà Nội 01 | 1.270 | 9.540 | 90 | 15,0%",0.8333333333333334,2,True,False,Cần Thơ 02,3100.0,"Cần Thơ 02 | 3.100 | 5.810 | 20 | -1,4%",0.6666666666666666,1,False,1830.0,0.5903225806451613,7
B-train-00096-q09,argmax,Hà Nội 01,8010.0,"Hà Nội 01 | 8.010 | 5.890 | 600 | 13,3%",0.0,2,False,False,Khánh Hòa 03,7320.0,"Khánh Hòa 03 | 7.320 | 5.220 | 60 | 12,6%",0.6,1,False,690.0,0.0942622950819672,6
