question_id,quote_pairs,template,question
B-train-00000-q04,0,UNMATCHED,"Trong bảng 1 ở trang 1, Phòng ban nào có Tuyển mới lớn nhất?"
B-train-00000-q10,0,UNMATCHED,"Trong bảng 1 ở trang 1, Phòng ban nào có Định biên lớn nhất?"
B-train-00001-q06,0,UNMATCHED,"Trong bảng 1 ở trang 1, Địa bàn nào có Diện tích (ha) lớn nhất?"
B-train-00002-q09,0,UNMATCHED,"Trong bảng 1 ở trang 1, Trạm nào có Tổn thất lớn nhất?"
B-train-00002-q10,0,UNMATCHED,"Trong bảng 1 ở trang 1, Trạm nào có Sự cố lớn nhất?"
B-train-00003-q01,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Kế hoạch lớn nhất?"
B-train-00003-q04,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Tỷ lệ lớn nhất?"
B-train-00004-q06,0,UNMATCHED,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá trúng lớn nhất?"
B-train-00004-q09,0,UNMATCHED,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá dự toán lớn nhất?"
B-train-00005-q07,0,UNMATCHED,"Trong bảng 1 ở trang 1, Kho/điểm nào có Chi phí lớn nhất?"
B-train-00005-q09,0,UNMATCHED,"Trong bảng 1 ở trang 1, Kho/điểm nào có Tồn cuối lớn nhất?"
B-train-00006-q04,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm đến nào có Khách nội địa lớn nhất?"
B-train-00006-q07,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm đến nào có Khách quốc tế lớn nhất?"
B-train-00007-q02,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm bán nào có Hoàn trả lớn nhất?"
B-train-00007-q07,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm bán nào có Giá trị bán lớn nhất?"
B-train-00008-q01,0,UNMATCHED,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá trúng lớn nhất?"
B-train-00008-q05,0,UNMATCHED,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá dự toán lớn nhất?"
B-train-00009-q08,0,UNMATCHED,"Trong bảng 1 ở trang 1, Dự án nào có Tiến độ lớn nhất?"
B-train-00009-q10,0,UNMATCHED,"Trong bảng 1 ở trang 1, Dự án nào có Giải ngân lớn nhất?"
B-train-00010-q04,0,UNMATCHED,"Trong bảng 1 ở trang 1, Mã hàng nào có Xuất lớn nhất?"
B-train-00010-q08,0,UNMATCHED,"Trong bảng 1 ở trang 1, Mã hàng nào có Tồn đầu lớn nhất?"
B-train-00011-q02,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm bán nào có Giá trị bán lớn nhất?"
B-train-00011-q05,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm bán nào có Lượt khách lớn nhất?"
B-train-00012-q04,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Chênh lệch lớn nhất?"
B-train-00012-q09,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Thực hiện lớn nhất?"
B-train-00013-q02,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Tỷ lệ rớt cuộc lớn nhất?"
B-train-00013-q06,0,UNMATCHED,"Trong bảng 1 ở trang 1, Khu vực nào có Phản ánh lớn nhất?"
B-train-00014-q07,0,UNMATCHED,"Trong bảng 1 ở trang 1, Điểm đến nào có Khách quốc tế lớn nhất?"
B-train-00015-q07,0,UNMATCHED,"Trong bảng 1 ở trang 1, Chi nhánh nào có Huy động lớn nhất?"
B-train-00015-q09,0,UNMATCHED,"Trong bảng 1 ở trang 1, Chi nhánh nào có Tăng trưởng lớn nhất?"
