question_id,document_id,reasoning_type,question,return_column,value_column,expected_answer,expected_candidate_found,expected_value_text,expected_value,expected_value_rank,expected_logical_row_index,expected_row_position_ratio,expected_full_row,solver_answer,solver_value_text,solver_value,solver_value_rank,solver_logical_row_index,solver_row_position_ratio,solver_full_row,num_logical_rows,all_values,is_correct,expected_table,expected_row,expected_column,expected_is_bold,expected_block_id,solver_table,solver_row,solver_column,solver_is_bold,solver_block_id
B-train-00000-q04,B-train-00000,argmax,"Trong bảng 1 ở trang 1, Phòng ban nào có Tuyển mới lớn nhất?",Phòng ban,Tuyển mới,Kế toán,True,5,5.0,1,1,0.14285714285714285,Kế toán | 30 | 25 | 5 | -5,Kế toán,5,5.0,1,1,0.14285714285714285,Kế toán | 30 | 25 | 5 | -5,8,"[{""logical_row"": 0, ""return"": ""Kinh doanh"", ""value_text"": ""3"", ""value"": 3.0}, {""logical_row"": 1, ""return"": ""Kế toán"", ""value_text"": ""5"", ""value"": 5.0}, {""logical_row"": 2, ""return"": ""Vận hành"", ""value_text"": ""0"", ""value"": 0.0}, {""logical_row"": 3, ""return"": ""Công nghệ"", ""value_text"": ""0"", ""value"": 0.0}, {""logical_row"": 4, ""return"": ""Hành chính"", ""value_text"": ""4"", ""value"": 4.0}, {""logical_row"": 5, ""return"": ""Chăm sóc khách hàng"", ""value_text"": ""2"", ""value"": 2.0}, {""logical_row"": 6, ""return"": ""Kinh doanh"", ""value_text"": ""0"", ""value"": 0.0}, {""logical_row"": 7, ""return"": ""Kế toán"", ""value_text"": ""2"", ""value"": 2.0}]",True,1,2,0,True,p01_b00010,1,2,0,True,p01_b00010
B-train-00000-q07,B-train-00000,argmin,"Trong bảng 1 ở trang 1, Phòng ban nào có Hiện có nhỏ nhất?",Phòng ban,Hiện có,Hành chính,True,5,5.0,1,4,0.5714285714285714,Hành chính | 9 | 5 | 4 | -4,Hành chính,5,5.0,1,4,0.5714285714285714,Hành chính | 9 | 5 | 4 | -4,8,"[{""logical_row"": 0, ""return"": ""Kinh doanh"", ""value_text"": ""9"", ""value"": 9.0}, {""logical_row"": 1, ""return"": ""Kế toán"", ""value_text"": ""25"", ""value"": 25.0}, {""logical_row"": 2, ""return"": ""Vận hành"", ""value_text"": ""42"", ""value"": 42.0}, {""logical_row"": 3, ""return"": ""Công nghệ"", ""value_text"": ""10"", ""value"": 10.0}, {""logical_row"": 4, ""return"": ""Hành chính"", ""value_text"": ""5"", ""value"": 5.0}, {""logical_row"": 5, ""return"": ""Chăm sóc khách hàng"", ""value_text"": ""8"", ""value"": 8.0}, {""logical_row"": 6, ""return"": ""Kinh doanh"", ""value_text"": ""24"", ""value"": 24.0}, {""logical_row"": 7, ""return"": ""Kế toán"", ""value_text"": ""32"", ""value"": 32.0}]",True,1,5,0,False,p01_b00025,1,5,0,False,p01_b00025
B-train-00000-q09,B-train-00000,argmin,"Trong bảng 1 ở trang 1, Phòng ban nào có Định biên nhỏ nhất?",Phòng ban,Định biên,Công nghệ,True,8,8.0,1,3,0.42857142857142855,Công nghệ | 8 | 10 | 0 | +2,Công nghệ,8,8.0,1,3,0.42857142857142855,Công nghệ | 8 | 10 | 0 | +2,8,"[{""logical_row"": 0, ""return"": ""Kinh doanh"", ""value_text"": ""12"", ""value"": 12.0}, {""logical_row"": 1, ""return"": ""Kế toán"", ""value_text"": ""30"", ""value"": 30.0}, {""logical_row"": 2, ""return"": ""Vận hành"", ""value_text"": ""39"", ""value"": 39.0}, {""logical_row"": 3, ""return"": ""Công nghệ"", ""value_text"": ""8"", ""value"": 8.0}, {""logical_row"": 4, ""return"": ""Hành chính"", ""value_text"": ""9"", ""value"": 9.0}, {""logical_row"": 5, ""return"": ""Chăm sóc khách hàng"", ""value_text"": ""10"", ""value"": 10.0}, {""logical_row"": 6, ""return"": ""Kinh doanh"", ""value_text"": ""23"", ""value"": 23.0}, {""logical_row"": 7, ""return"": ""Kế toán"", ""value_text"": ""34"", ""value"": 34.0}]",True,1,4,0,False,p01_b00020,1,4,0,False,p01_b00020
B-train-00000-q10,B-train-00000,argmax,"Trong bảng 1 ở trang 1, Phòng ban nào có Định biên lớn nhất?",Phòng ban,Định biên,Vận hành,True,39,39.0,1,2,0.2857142857142857,Vận hành | 39 | 42 | 0 | +3,Vận hành,39,39.0,1,2,0.2857142857142857,Vận hành | 39 | 42 | 0 | +3,8,"[{""logical_row"": 0, ""return"": ""Kinh doanh"", ""value_text"": ""12"", ""value"": 12.0}, {""logical_row"": 1, ""return"": ""Kế toán"", ""value_text"": ""30"", ""value"": 30.0}, {""logical_row"": 2, ""return"": ""Vận hành"", ""value_text"": ""39"", ""value"": 39.0}, {""logical_row"": 3, ""return"": ""Công nghệ"", ""value_text"": ""8"", ""value"": 8.0}, {""logical_row"": 4, ""return"": ""Hành chính"", ""value_text"": ""9"", ""value"": 9.0}, {""logical_row"": 5, ""return"": ""Chăm sóc khách hàng"", ""value_text"": ""10"", ""value"": 10.0}, {""logical_row"": 6, ""return"": ""Kinh doanh"", ""value_text"": ""23"", ""value"": 23.0}, {""logical_row"": 7, ""return"": ""Kế toán"", ""value_text"": ""34"", ""value"": 34.0}]",True,1,3,0,False,p01_b00015,1,3,0,False,p01_b00015
B-train-00001-q02,B-train-00001,argmin,"Trong bảng 1 ở trang 1, Địa bàn nào có Diện tích (ha) nhỏ nhất?",Địa bàn,Diện tích (ha),Hà Nội,True,81,81.0,1,0,0.0,Hà Nội | Lúa | 81 | 486 | Đạt kế hoạch,Hà Nội,81,81.0,1,0,0.0,Hà Nội | Lúa | 81 | 486 | Đạt kế hoạch,8,"[{""logical_row"": 0, ""return"": ""Hà Nội"", ""value_text"": ""81"", ""value"": 81.0}, {""logical_row"": 1, ""return"": ""Hải Phòng"", ""value_text"": ""781"", ""value"": 781.0}, {""logical_row"": 2, ""return"": ""Đà Nẵng"", ""value_text"": ""270"", ""value"": 270.0}, {""logical_row"": 3, ""return"": ""Khánh Hòa"", ""value_text"": ""133"", ""value"": 133.0}, {""logical_row"": 4, ""return"": ""Đồng Nai"", ""value_text"": ""855"", ""value"": 855.0}, {""logical_row"": 5, ""return"": ""Cần Thơ"", ""value_text"": ""570"", ""value"": 570.0}, {""logical_row"": 6, ""return"": ""Lâm Đồng"", ""value_text"": ""349"", ""value"": 349.0}, {""logical_row"": 7, ""return"": ""Hà Nội"", ""value_text"": ""476"", ""value"": 476.0}]",True,1,1,0,False,p01_b00005,1,1,0,False,p01_b00005
B-train-00001-q04,B-train-00001,argmin,"Trong bảng 1 ở trang 1, Địa bàn nào có Sản lượng (tấn) nhỏ nhất?",Địa bàn,Sản lượng (tấn),Hà Nội,True,486,486.0,1,0,0.0,Hà Nội | Lúa | 81 | 486 | Đạt kế hoạch,Hà Nội,486,486.0,1,0,0.0,Hà Nội | Lúa | 81 | 486 | Đạt kế hoạch,8,"[{""logical_row"": 0, ""return"": ""Hà Nội"", ""value_text"": ""486"", ""value"": 486.0}, {""logical_row"": 1, ""return"": ""Hải Phòng"", ""value_text"": ""4.686"", ""value"": 4686.0}, {""logical_row"": 2, ""return"": ""Đà Nẵng"", ""value_text"": ""1.620"", ""value"": 1620.0}, {""logical_row"": 3, ""return"": ""Khánh Hòa"", ""value_text"": ""1.064"", ""value"": 1064.0}, {""logical_row"": 4, ""return"": ""Đồng Nai"", ""value_text"": ""5.985"", ""value"": 5985.0}, {""logical_row"": 5, ""return"": ""Cần Thơ"", ""value_text"": ""4.560"", ""value"": 4560.0}, {""logical_row"": 6, ""return"": ""Lâm Đồng"", ""value_text"": ""1.396"", ""value"": 1396.0}, {""logical_row"": 7, ""return"": ""Hà Nội"", ""value_text"": ""1.904"", ""value"": 1904.0}]",True,1,1,0,False,p01_b00005,1,1,0,False,p01_b00005
B-train-00001-q06,B-train-00001,argmax,"Trong bảng 1 ở trang 1, Địa bàn nào có Diện tích (ha) lớn nhất?",Địa bàn,Diện tích (ha),Đồng Nai,True,855,855.0,1,4,0.5714285714285714,Đồng Nai | Xoài | 855 | 5.985 | Tăng nhẹ,Đồng Nai,855,855.0,1,4,0.5714285714285714,Đồng Nai | Xoài | 855 | 5.985 | Tăng nhẹ,8,"[{""logical_row"": 0, ""return"": ""Hà Nội"", ""value_text"": ""81"", ""value"": 81.0}, {""logical_row"": 1, ""return"": ""Hải Phòng"", ""value_text"": ""781"", ""value"": 781.0}, {""logical_row"": 2, ""return"": ""Đà Nẵng"", ""value_text"": ""270"", ""value"": 270.0}, {""logical_row"": 3, ""return"": ""Khánh Hòa"", ""value_text"": ""133"", ""value"": 133.0}, {""logical_row"": 4, ""return"": ""Đồng Nai"", ""value_text"": ""855"", ""value"": 855.0}, {""logical_row"": 5, ""return"": ""Cần Thơ"", ""value_text"": ""570"", ""value"": 570.0}, {""logical_row"": 6, ""return"": ""Lâm Đồng"", ""value_text"": ""349"", ""value"": 349.0}, {""logical_row"": 7, ""return"": ""Hà Nội"", ""value_text"": ""476"", ""value"": 476.0}]",True,1,5,0,False,p01_b00025,1,5,0,False,p01_b00025
B-train-00002-q02,B-train-00002,argmin,"Trong bảng 1 ở trang 1, Trạm nào có Tổn thất nhỏ nhất?",Trạm,Tổn thất,Trạm 110kV Bắc,True,"1,3%",1.3,1,0,0.0,"Trạm 110kV Bắc | 15.838 | 1,3% | 830 | 6",Trạm 110kV Bắc,"1,3%",1.3,1,0,0.0,"Trạm 110kV Bắc | 15.838 | 1,3% | 830 | 6",6,"[{""logical_row"": 0, ""return"": ""Trạm 110kV Bắc"", ""value_text"": ""1,3%"", ""value"": 1.3}, {""logical_row"": 1, ""return"": ""Trạm 220kV Trung"", ""value_text"": ""1,9%"", ""value"": 1.9}, {""logical_row"": 2, ""return"": ""Trạm Nam Sông"", ""value_text"": ""5,9%"", ""value"": 5.9}, {""logical_row"": 3, ""return"": ""Trạm Tây Đô"", ""value_text"": ""3,0%"", ""value"": 3.0}, {""logical_row"": 4, ""return"": ""Trạm Cao Nguyên"", ""value_text"": ""3,1%"", ""value"": 3.1}, {""logical_row"": 5, ""return"": ""Trạm 110kV Bắc"", ""value_text"": ""5,1%"", ""value"": 5.1}]",True,1,1,0,False,p01_b00005,1,1,0,False,p01_b00005
B-train-00002-q06,B-train-00002,argmin,"Trong bảng 1 ở trang 1, Trạm nào có Công suất đỉnh nhỏ nhất?",Trạm,Công suất đỉnh,Trạm Nam Sông,True,222,222.0,1,2,0.4,"Trạm Nam Sông | 5.884 | 5,9% | 222 | 0",Trạm Nam Sông,222,222.0,1,2,0.4,"Trạm Nam Sông | 5.884 | 5,9% | 222 | 0",6,"[{""logical_row"": 0, ""return"": ""Trạm 110kV Bắc"", ""value_text"": ""830"", ""value"": 830.0}, {""logical_row"": 1, ""return"": ""Trạm 220kV Trung"", ""value_text"": ""592"", ""value"": 592.0}, {""logical_row"": 2, ""return"": ""Trạm Nam Sông"", ""value_text"": ""222"", ""value"": 222.0}, {""logical_row"": 3, ""return"": ""Trạm Tây Đô"", ""value_text"": ""871"", ""value"": 871.0}, {""logical_row"": 4, ""return"": ""Trạm Cao Nguyên"", ""value_text"": ""329"", ""value"": 329.0}, {""logical_row"": 5, ""return"": ""Trạm 110kV Bắc"", ""value_text"": ""338"", ""value"": 338.0}]",True,1,3,0,False,p01_b00015,1,3,0,False,p01_b00015
B-train-00002-q09,B-train-00002,argmax,"Trong bảng 1 ở trang 1, Trạm nào có Tổn thất lớn nhất?",Trạm,Tổn thất,Trạm Nam Sông,True,"5,9%",5.9,1,2,0.4,"Trạm Nam Sông | 5.884 | 5,9% | 222 | 0",Trạm Nam Sông,"5,9%",5.9,1,2,0.4,"Trạm Nam Sông | 5.884 | 5,9% | 222 | 0",6,"[{""logical_row"": 0, ""return"": ""Trạm 110kV Bắc"", ""value_text"": ""1,3%"", ""value"": 1.3}, {""logical_row"": 1, ""return"": ""Trạm 220kV Trung"", ""value_text"": ""1,9%"", ""value"": 1.9}, {""logical_row"": 2, ""return"": ""Trạm Nam Sông"", ""value_text"": ""5,9%"", ""value"": 5.9}, {""logical_row"": 3, ""return"": ""Trạm Tây Đô"", ""value_text"": ""3,0%"", ""value"": 3.0}, {""logical_row"": 4, ""return"": ""Trạm Cao Nguyên"", ""value_text"": ""3,1%"", ""value"": 3.1}, {""logical_row"": 5, ""return"": ""Trạm 110kV Bắc"", ""value_text"": ""5,1%"", ""value"": 5.1}]",True,1,3,0,False,p01_b00015,1,3,0,False,p01_b00015
