question_id,document_id,reasoning_type,question,return_column,value_column,expected_answer,expected_block_id,expected_table,expected_row,expected_column,expected_is_bold,expected_entity_physical_cell_count,solver_answer,solver_block_id,solver_table,solver_row,solver_column,solver_is_bold,solver_entity_physical_cell_count,solver_value_text,solver_parsed_value,solver_logical_row_index,num_logical_rows,is_correct
B-train-00000-q04,B-train-00000,argmax,"Trong bảng 1 ở trang 1, Phòng ban nào có Tuyển mới lớn nhất?",Phòng ban,Tuyển mới,Kế toán,p01_b00010,1,2,0,True,2,Kế toán,p01_b00010,1,2,0,True,2,5,5.0,1,8,True
B-train-00000-q07,B-train-00000,argmin,"Trong bảng 1 ở trang 1, Phòng ban nào có Hiện có nhỏ nhất?",Phòng ban,Hiện có,Hành chính,p01_b00025,1,5,0,False,1,Hành chính,p01_b00025,1,5,0,False,1,5,5.0,4,8,True
B-train-00000-q09,B-train-00000,argmin,"Trong bảng 1 ở trang 1, Phòng ban nào có Định biên nhỏ nhất?",Phòng ban,Định biên,Công nghệ,p01_b00020,1,4,0,False,1,Công nghệ,p01_b00020,1,4,0,False,1,8,8.0,3,8,True
B-train-00000-q10,B-train-00000,argmax,"Trong bảng 1 ở trang 1, Phòng ban nào có Định biên lớn nhất?",Phòng ban,Định biên,Vận hành,p01_b00015,1,3,0,False,1,Vận hành,p01_b00015,1,3,0,False,1,39,39.0,2,8,True
B-train-00001-q02,B-train-00001,argmin,"Trong bảng 1 ở trang 1, Địa bàn nào có Diện tích (ha) nhỏ nhất?",Địa bàn,Diện tích (ha),Hà Nội,p01_b00005,1,1,0,False,2,Hà Nội,p01_b00005,1,1,0,False,2,81,81.0,0,8,True
B-train-00001-q04,B-train-00001,argmin,"Trong bảng 1 ở trang 1, Địa bàn nào có Sản lượng (tấn) nhỏ nhất?",Địa bàn,Sản lượng (tấn),Hà Nội,p01_b00005,1,1,0,False,2,Hà Nội,p01_b00005,1,1,0,False,2,486,486.0,0,8,True
B-train-00001-q06,B-train-00001,argmax,"Trong bảng 1 ở trang 1, Địa bàn nào có Diện tích (ha) lớn nhất?",Địa bàn,Diện tích (ha),Đồng Nai,p01_b00025,1,5,0,False,1,Đồng Nai,p01_b00025,1,5,0,False,1,855,855.0,4,8,True
B-train-00002-q02,B-train-00002,argmin,"Trong bảng 1 ở trang 1, Trạm nào có Tổn thất nhỏ nhất?",Trạm,Tổn thất,Trạm 110kV Bắc,p01_b00005,1,1,0,False,2,Trạm 110kV Bắc,p01_b00005,1,1,0,False,2,"1,3%",1.3,0,6,True
B-train-00002-q06,B-train-00002,argmin,"Trong bảng 1 ở trang 1, Trạm nào có Công suất đỉnh nhỏ nhất?",Trạm,Công suất đỉnh,Trạm Nam Sông,p01_b00015,1,3,0,False,1,Trạm Nam Sông,p01_b00015,1,3,0,False,1,222,222.0,2,6,True
B-train-00002-q09,B-train-00002,argmax,"Trong bảng 1 ở trang 1, Trạm nào có Tổn thất lớn nhất?",Trạm,Tổn thất,Trạm Nam Sông,p01_b00015,1,3,0,False,1,Trạm Nam Sông,p01_b00015,1,3,0,False,1,"5,9%",5.9,2,6,True
B-train-00002-q10,B-train-00002,argmax,"Trong bảng 1 ở trang 1, Trạm nào có Sự cố lớn nhất?",Trạm,Sự cố,Trạm 110kV Bắc,p01_b00005,1,1,0,False,2,Trạm 110kV Bắc,p01_b00005,1,1,0,False,2,6,6.0,0,6,True
B-train-00003-q01,B-train-00003,argmax,"Trong bảng 1 ở trang 1, Khu vực nào có Kế hoạch lớn nhất?",Khu vực,Kế hoạch,Đồng bằng sông Cửu Long,p01_b00025,1,5,0,False,1,Đồng bằng sông Cửu Long,p01_b00025,1,5,0,False,1,4.070,4070.0,4,6,True
B-train-00003-q04,B-train-00003,argmax,"Trong bảng 1 ở trang 1, Khu vực nào có Tỷ lệ lớn nhất?",Khu vực,Tỷ lệ,Miền Bắc,p01_b00030,1,6,0,False,2,Miền Bắc,p01_b00030,1,6,0,False,2,"190,5%",190.5,5,6,True
B-train-00003-q07,B-train-00003,argmin,"Trong bảng 1 ở trang 1, Khu vực nào có Chênh lệch nhỏ nhất?",Khu vực,Chênh lệch,Đồng bằng sông Cửu Long,p01_b00025,1,5,0,False,1,Đồng bằng sông Cửu Long,p01_b00025,1,5,0,False,1,-320,-320.0,4,6,True
B-train-00003-q10,B-train-00003,argmin,"Trong bảng 1 ở trang 1, Khu vực nào có Kế hoạch nhỏ nhất?",Khu vực,Kế hoạch,Miền Trung,p01_b00010,1,2,0,False,1,Miền Bắc,p01_b00030,1,6,0,False,2,950,950.0,5,6,False
B-train-00004-q02,B-train-00004,argmin,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá trúng nhỏ nhất?",Gói thầu,Giá trúng,GT97,p01_b00020,1,4,0,False,1,GT97,p01_b00020,1,4,0,False,1,870,870.0,3,5,True
B-train-00004-q06,B-train-00004,argmax,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá trúng lớn nhất?",Gói thầu,Giá trúng,GT40,p01_b00025,1,5,0,False,1,GT40,p01_b00025,1,5,0,False,1,2.300,2300.0,4,5,True
B-train-00004-q09,B-train-00004,argmax,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá dự toán lớn nhất?",Gói thầu,Giá dự toán,GT40,p01_b00025,1,5,0,False,1,GT40,p01_b00025,1,5,0,False,1,2.400,2400.0,4,5,True
B-train-00005-q03,B-train-00005,argmin,"Trong bảng 1 ở trang 1, Kho/điểm nào có Chi phí nhỏ nhất?",Kho/điểm,Chi phí,Kho Hà Nội,p01_b00030,1,6,0,False,2,Kho Hà Nội,p01_b00030,1,6,0,False,2,15.504,15504.0,5,8,True
B-train-00005-q07,B-train-00005,argmax,"Trong bảng 1 ở trang 1, Kho/điểm nào có Chi phí lớn nhất?",Kho/điểm,Chi phí,Kho Bình Dương,p01_b00040,1,8,0,False,2,Kho Bình Dương,p01_b00040,1,8,0,False,2,282.435,282435.0,7,8,True
B-train-00005-q09,B-train-00005,argmax,"Trong bảng 1 ở trang 1, Kho/điểm nào có Tồn cuối lớn nhất?",Kho/điểm,Tồn cuối,Kho Đà Nẵng,p01_b00035,1,7,0,False,2,Kho Đà Nẵng,p01_b00035,1,7,0,False,2,949,949.0,6,8,True
B-train-00005-q10,B-train-00005,argmin,"Trong bảng 1 ở trang 1, Kho/điểm nào có Đúng hạn nhỏ nhất?",Kho/điểm,Đúng hạn,Kho Đà Nẵng,p01_b00035,1,7,0,False,2,Kho Đà Nẵng,p01_b00035,1,7,0,False,2,"78,8%",78.8,6,8,True
B-train-00006-q03,B-train-00006,argmin,"Trong bảng 1 ở trang 1, Điểm đến nào có Doanh thu nhỏ nhất?",Điểm đến,Doanh thu,Vịnh Hạ Long,p01_b00005,1,1,0,False,1,Vịnh Hạ Long,p01_b00005,1,1,0,False,1,26.136,26136.0,0,5,True
B-train-00006-q04,B-train-00006,argmax,"Trong bảng 1 ở trang 1, Điểm đến nào có Khách nội địa lớn nhất?",Điểm đến,Khách nội địa,Phú Quốc,p01_b00025,1,5,0,False,1,Phú Quốc,p01_b00025,1,5,0,False,1,20.083,20083.0,4,5,True
B-train-00006-q06,B-train-00006,argmin,"Trong bảng 1 ở trang 1, Điểm đến nào có Công suất phòng nhỏ nhất?",Điểm đến,Công suất phòng,Nha Trang,p01_b00020,1,4,0,False,1,Nha Trang,p01_b00020,1,4,0,False,1,"54,8%",54.8,3,5,True
B-train-00006-q07,B-train-00006,argmax,"Trong bảng 1 ở trang 1, Điểm đến nào có Khách quốc tế lớn nhất?",Điểm đến,Khách quốc tế,Đà Lạt,p01_b00015,1,3,0,True,1,Đà Lạt,p01_b00015,1,3,0,True,1,6.766,6766.0,2,5,True
B-train-00007-q02,B-train-00007,argmax,"Trong bảng 1 ở trang 1, Điểm bán nào có Hoàn trả lớn nhất?",Điểm bán,Hoàn trả,Điểm bán phía Nam,p01_b00025,1,5,0,False,1,Điểm bán phía Nam,p01_b00025,1,5,0,False,1,"6,9%",6.9,4,5,True
B-train-00007-q03,B-train-00007,argmin,"Trong bảng 1 ở trang 1, Điểm bán nào có Lượt khách nhỏ nhất?",Điểm bán,Lượt khách,Cửa hàng 02,p01_b00010,1,2,0,False,1,Cửa hàng 02,p01_b00010,1,2,0,False,1,2462,2462.0,1,5,True
B-train-00007-q07,B-train-00007,argmax,"Trong bảng 1 ở trang 1, Điểm bán nào có Giá trị bán lớn nhất?",Điểm bán,Giá trị bán,Cửa hàng 02,p01_b00010,1,2,0,False,1,Cửa hàng 02,p01_b00010,1,2,0,False,1,1.573.442,1573442.0,1,5,True
B-train-00007-q10,B-train-00007,argmin,"Trong bảng 1 ở trang 1, Điểm bán nào có Số đơn nhỏ nhất?",Điểm bán,Số đơn,Điểm bán phía Bắc,p01_b00020,1,4,0,False,1,Điểm bán phía Bắc,p01_b00020,1,4,0,False,1,1095,1095.0,3,5,True
B-train-00008-q01,B-train-00008,argmax,"Trong bảng 1 ở trang 1, Gói thầu nào có Giá trúng lớn nhất?",Gói thầu,Giá trúng,GT75,p01_b00025,1,5,0,False,1,GT75,p01_b00025,1,5,0,False,1,2.470,2470.0,4,5,True
