question_id,quote_pairs,template,question
B-train-00000-q06,3,UNMATCHED,"OCR không ghi nhận định dạng chữ. Trong ảnh của bảng 1 ở trang 1, hãy chọn dòng in đậm giữa Phòng ban “Vận hành” và Phòng ban “Kế toán” và Định biên “30”, rồi đọc ô thuộc cột Hiện có."
B-train-00002-q01,3,UNMATCHED,Chỉ dựa vào hình thức trình bày trên ảnh ở bảng 1 ở trang 1: xác định dòng có toàn bộ chữ in đậm trong hai dòng Trạm “Trạm 220kV Trung” và Trạm “Trạm 110kV Bắc” và Sản lượng “15.838”; giá trị Công suất đỉnh của dòng đó là gì?
B-train-00004-q08,2,UNMATCHED,Chỉ dựa vào hình thức trình bày trên ảnh ở bảng 1 ở trang 1: xác định dòng có toàn bộ chữ in đậm trong hai dòng Gói thầu “GT76” và Gói thầu “GT40”; giá trị Trạng thái của dòng đó là gì?
B-train-00006-q01,2,UNMATCHED,"Tại bảng 1 ở trang 1, hai dòng Điểm đến “Vịnh Hạ Long” và Điểm đến “Đà Lạt” có kiểu chữ khác nhau. Hãy tìm dòng in đậm trên ảnh và trả về nội dung cột Khách nội địa."
B-train-00008-q06,2,UNMATCHED,"Tại bảng 1 ở trang 1, hai dòng Gói thầu “GT60” và Gói thầu “GT13” có kiểu chữ khác nhau. Hãy tìm dòng in đậm trên ảnh và trả về nội dung cột Giá dự toán."
B-train-00010-q10,2,UNMATCHED,"Quan sát trực tiếp kiểu chữ trong ảnh tại bảng 1 ở trang 1. Giữa dòng Mã hàng “VT662” và dòng Mã hàng “VT620”, dòng nào được in đậm? Trả lời bằng giá trị ở cột Nhập."
B-train-00012-q01,2,UNMATCHED,"Quan sát trực tiếp kiểu chữ trong ảnh tại bảng 1 ở trang 1. Giữa dòng Khu vực “Miền Nam” và dòng Khu vực “Miền Bắc”, dòng nào được in đậm? Trả lời bằng giá trị ở cột Kế hoạch."
B-train-00014-q01,2,UNMATCHED,"Tại bảng 1 ở trang 1, hai dòng Điểm đến “Phú Quốc” và Điểm đến “Nha Trang” có kiểu chữ khác nhau. Hãy tìm dòng in đậm trên ảnh và trả về nội dung cột Công suất phòng."
B-train-00016-q03,2,UNMATCHED,"OCR không ghi nhận định dạng chữ. Trong ảnh của bảng 1 ở trang 1, hãy chọn dòng in đậm giữa Tuyến “Đà Nẵng – Huế” và Tuyến “Nha Trang – Đà Lạt”, rồi đọc ô thuộc cột Đúng giờ."
B-train-00018-q02,4,UNMATCHED,"Chỉ dựa vào hình thức trình bày trên ảnh ở bảng 1 ở trang 1: xác định dòng có toàn bộ chữ in đậm trong hai dòng Điểm quan trắc “Sông Hồng” và pH “6,43” và Điểm quan trắc “Hồ Xuân Hương” và pH “8,15”; giá trị Mức đánh giá của dòng đó là gì?"
