question_id,quote_pairs,template,question
B-train-00000-q08,4,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Phòng ban “Kinh doanh” và Định biên “23” với dòng có Phòng ban “Kế toán” và Định biên “34”, dòng nào có Thiếu/thừa cao hơn?"
B-train-00001-q10,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Địa bàn “Đà Nẵng” với dòng có Địa bàn “Đồng Nai”, dòng nào có Diện tích (ha) cao hơn?"
B-train-00002-q03,3,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Trạm “Trạm 110kV Bắc” và Sản lượng “15.838” với dòng có Trạm “Trạm Nam Sông”, dòng nào có Công suất đỉnh cao hơn?"
B-train-00002-q08,3,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Trạm “Trạm Tây Đô” với dòng có Trạm “Trạm 110kV Bắc” và Sản lượng “15.838”, dòng nào có Sự cố cao hơn?"
B-train-00003-q02,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Khu vực “Tây Nguyên” với dòng có Khu vực “Đồng bằng sông Cửu Long”, dòng nào có Thực hiện cao hơn?"
B-train-00003-q08,3,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Khu vực “Miền Bắc” và Kế hoạch “3.560” với dòng có Khu vực “Tây Nguyên”, dòng nào có Chênh lệch cao hơn?"
B-train-00004-q01,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Gói thầu “GT76” với dòng có Gói thầu “GT40”, dòng nào có Giá dự toán cao hơn?"
B-train-00004-q07,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Gói thầu “GT97” với dòng có Gói thầu “GT76”, dòng nào có Giá trúng cao hơn?"
B-train-00005-q05,4,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Kho/điểm “Kho Bình Dương” và Đơn xử lý “4876” với dòng có Kho/điểm “Kho Đà Nẵng” và Đơn xử lý “3481”, dòng nào có Chi phí cao hơn?"
B-train-00005-q08,3,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Kho/điểm “Kho Cần Thơ” với dòng có Kho/điểm “Kho Bình Dương” và Đơn xử lý “4955”, dòng nào có Tồn cuối cao hơn?"
B-train-00006-q08,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Điểm đến “Phố cổ Hội An” với dòng có Điểm đến “Vịnh Hạ Long”, dòng nào có Khách nội địa cao hơn?"
B-train-00006-q10,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Điểm đến “Nha Trang” với dòng có Điểm đến “Phú Quốc”, dòng nào có Doanh thu cao hơn?"
B-train-00007-q01,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Điểm bán “Điểm bán phía Nam” với dòng có Điểm bán “Cửa hàng 01”, dòng nào có Số đơn cao hơn?"
B-train-00007-q06,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Điểm bán “Siêu thị trung tâm” với dòng có Điểm bán “Điểm bán phía Nam”, dòng nào có Giá trị bán cao hơn?"
B-train-00008-q03,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Gói thầu “GT60” với dòng có Gói thầu “GT47”, dòng nào có Giá dự toán cao hơn?"
B-train-00009-q04,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Dự án “Khu tái định cư” với dòng có Dự án “Nhà máy nước”, dòng nào có Giá trị hợp đồng cao hơn?"
B-train-00009-q06,4,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Dự án “Trường liên cấp” và Giá trị hợp đồng “28.110” với dòng có Dự án “Cầu Đông Thành” và Giá trị hợp đồng “16.640”, dòng nào có Giải ngân cao hơn?"
B-train-00010-q02,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Mã hàng “VT159” với dòng có Mã hàng “VT212”, dòng nào có Tồn đầu cao hơn?"
B-train-00010-q03,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Mã hàng “VT662” với dòng có Mã hàng “VT159”, dòng nào có Tồn cuối cao hơn?"
B-train-00011-q04,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Điểm bán “Cửa hàng 02” với dòng có Điểm bán “Điểm bán phía Bắc”, dòng nào có Lượt khách cao hơn?"
B-train-00011-q08,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Điểm bán “Cửa hàng 02” với dòng có Điểm bán “Điểm bán phía Nam”, dòng nào có Giá trị bán cao hơn?"
B-train-00012-q03,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Khu vực “Miền Bắc” với dòng có Khu vực “Miền Trung”, dòng nào có Chênh lệch cao hơn?"
B-train-00013-q01,4,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Khu vực “Cụm BTS-01” và Thuê bao “51.694” với dòng có Khu vực “Cụm BTS-02” và Thuê bao “24.009”, dòng nào có Phản ánh cao hơn?"
B-train-00013-q09,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Khu vực “Khu vực miền núi” với dòng có Khu vực “Khu vực đô thị”, dòng nào có Thuê bao cao hơn?"
B-train-00014-q09,4,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Điểm đến “Vịnh Hạ Long” và Khách nội địa “18.363” với dòng có Điểm đến “Vịnh Hạ Long” và Khách nội địa “16.152”, dòng nào có Khách quốc tế cao hơn?"
B-train-00014-q10,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Điểm đến “Đà Lạt” với dòng có Điểm đến “Phố cổ Hội An”, dòng nào có Doanh thu cao hơn?"
B-train-00015-q05,4,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Chi nhánh “Hải Phòng 02” và Dư nợ “3.640” với dòng có Chi nhánh “Hải Phòng 02” và Dư nợ “6.250”, dòng nào có Huy động cao hơn?"
B-train-00015-q08,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Chi nhánh “Cần Thơ 02” với dòng có Chi nhánh “Đà Nẵng 01”, dòng nào có Dư nợ cao hơn?"
B-train-00016-q06,2,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Tuyến “Đà Nẵng – Huế” với dòng có Tuyến “Nha Trang – Đà Lạt”, dòng nào có Doanh thu cao hơn?"
B-train-00017-q06,4,UNMATCHED,"So sánh tại bảng 1 ở trang 1: giữa dòng có Điểm đến “Vịnh Hạ Long” và Khách nội địa “11.893” với dòng có Điểm đến “Phố cổ Hội An” và Khách nội địa “16.128”, dòng nào có Doanh thu cao hơn?"
