question_id,quote_pairs,template,question
B-train-00103-q06,4,UNMATCHED,Lấy Diện tích (ha) của dòng có Địa bàn “Hải Phòng” và Cây trồng “Thanh long” ở trang 1 cộng với Diện tích (ha) của dòng có Địa bàn “Cần Thơ” và Cây trồng “Lúa” ở trang 2. Kết quả là bao nhiêu?
B-train-00164-q05,4,UNMATCHED,Lấy Bồi thường của dòng có Nghiệp vụ “Hàng hóa” và Hợp đồng “726” ở trang 1 cộng với Bồi thường của dòng có Nghiệp vụ “Hàng hóa” và Hợp đồng “622” ở trang 2. Kết quả là bao nhiêu?
B-train-00192-q09,4,UNMATCHED,Lấy Lũy kế của dòng có Khu vực “Khu vực đô thị” và Thuê bao “7.450” ở trang 1 cộng với Lũy kế của dòng có Khu vực “Cụm BTS-02” và Thuê bao “36.638” ở trang 2. Kết quả là bao nhiêu?
B-train-00214-q07,4,UNMATCHED,Lấy Giá trị bán của dòng có Điểm bán “Cửa hàng 01” và Lượt khách “3233” ở trang 1 cộng với Giá trị bán của dòng có Điểm bán “Siêu thị trung tâm” và Lượt khách “2305” ở trang 2. Kết quả là bao nhiêu?
B-train-00241-q07,4,UNMATCHED,Lấy Lũy kế của dòng có Nhóm chế độ “Ốm đau” và Hồ sơ nhận “1585” ở trang 1 cộng với Lũy kế của dòng có Nhóm chế độ “Ốm đau” và Hồ sơ nhận “2195” ở trang 2. Kết quả là bao nhiêu?
B-train-00246-q03,4,UNMATCHED,Lấy Giải ngân của dòng có Dự án “Trường liên cấp” và Giá trị hợp đồng “4.270” ở trang 1 cộng với Giải ngân của dòng có Dự án “Cầu Đông Thành” và Giá trị hợp đồng “21.630” ở trang 2. Kết quả là bao nhiêu?
B-train-00248-q07,4,UNMATCHED,Lấy Bồi thường của dòng có Nghiệp vụ “Sức khỏe” và Hợp đồng “518” ở trang 1 cộng với Bồi thường của dòng có Nghiệp vụ “Hàng hóa” và Hợp đồng “837” ở trang 2. Kết quả là bao nhiêu?
B-train-00259-q08,4,UNMATCHED,Lấy Nhập viện của dòng có Khoa “Ngoại” và Lượt khám “353” ở trang 1 cộng với Nhập viện của dòng có Khoa “Ngoại” và Lượt khám “106” ở trang 2. Kết quả là bao nhiêu?
B-train-00347-q10,4,UNMATCHED,Lấy Kế hoạch năm của dòng có Khoa “Tai Mũi Họng” và Lượt khám “408” ở trang 1 cộng với Kế hoạch năm của dòng có Khoa “Ngoại” và Lượt khám “266” ở trang 2. Kết quả là bao nhiêu?
B-train-00410-q08,4,UNMATCHED,Lấy Kỳ trước của dòng có Chi nhánh “Đà Nẵng 01” và Dư nợ “2.760” ở trang 1 cộng với Kỳ trước của dòng có Chi nhánh “Hải Phòng 02” và Dư nợ “2.670” ở trang 2. Kết quả là bao nhiêu?
B-train-00426-q06,4,UNMATCHED,Lấy Kỳ này của dòng có Khu vực “Cụm BTS-01” và Thuê bao “15.350” ở trang 1 cộng với Kỳ này của dòng có Khu vực “Khu vực miền núi” và Thuê bao “51.732” ở trang 2. Kết quả là bao nhiêu?
B-train-00502-q04,4,UNMATCHED,Lấy Trễ hạn của dòng có Nhóm chế độ “Tai nạn lao động” và Hồ sơ nhận “1588” ở trang 1 cộng với Trễ hạn của dòng có Nhóm chế độ “Tai nạn lao động” và Hồ sơ nhận “1542” ở trang 2. Kết quả là bao nhiêu?
B-train-00525-q01,4,UNMATCHED,Lấy Kế hoạch năm của dòng có Nghiệp vụ “Xe cơ giới” và Hợp đồng “841” ở trang 1 cộng với Kế hoạch năm của dòng có Nghiệp vụ “Tài sản” và Hợp đồng “80” ở trang 2. Kết quả là bao nhiêu?
B-train-00592-q01,4,UNMATCHED,Lấy Lũy kế của dòng có Trạm “Trạm 220kV Trung” và Sản lượng “16.767” ở trang 1 cộng với Lũy kế của dòng có Trạm “Trạm Cao Nguyên” và Sản lượng “10.134” ở trang 2. Kết quả là bao nhiêu?
B-train-00608-q06,4,UNMATCHED,Lấy Số đơn của dòng có Điểm bán “Điểm bán phía Nam” và Lượt khách “603” ở trang 1 cộng với Số đơn của dòng có Điểm bán “Cửa hàng 02” và Lượt khách “5098” ở trang 2. Kết quả là bao nhiêu?
B-train-00628-q05,4,UNMATCHED,Lấy Sự cố của dòng có Trạm “Trạm Cao Nguyên” và Sản lượng “12.365” ở trang 1 cộng với Sự cố của dòng có Trạm “Trạm Cao Nguyên” và Sản lượng “12.217” ở trang 2. Kết quả là bao nhiêu?
B-train-00652-q04,4,UNMATCHED,Lấy Lũy kế của dòng có Khu vực “Cụm BTS-02” và Thuê bao “49.738” ở trang 1 cộng với Lũy kế của dòng có Khu vực “Khu vực miền núi” và Thuê bao “5.498” ở trang 2. Kết quả là bao nhiêu?
B-train-00659-q10,4,UNMATCHED,Lấy Nợ quá hạn của dòng có Chi nhánh “Đà Nẵng 01” và Dư nợ “1.950” ở trang 1 cộng với Nợ quá hạn của dòng có Chi nhánh “Cần Thơ 02” và Dư nợ “7.810” ở trang 2. Kết quả là bao nhiêu?
B-train-00694-q03,2,UNMATCHED,Lấy Giá trúng của dòng có Gói thầu “GT99” ở trang 1 cộng với Giá trúng của dòng có Gói thầu “GT30” ở trang 2. Kết quả là bao nhiêu?
B-train-00732-q08,4,UNMATCHED,Lấy Giải ngân của dòng có Dự án “Khu tái định cư” và Giá trị hợp đồng “4.450” ở trang 1 cộng với Giải ngân của dòng có Dự án “Trường liên cấp” và Giá trị hợp đồng “16.620” ở trang 2. Kết quả là bao nhiêu?
B-train-00743-q05,2,UNMATCHED,Lấy Tồn đầu của dòng có Mã hàng “VT756” ở trang 1 cộng với Tồn đầu của dòng có Mã hàng “VT135” ở trang 2. Kết quả là bao nhiêu?
