doc_id,page,group,row_type,table_id,row,boundary_col,coverage
train-00326,images/train-00326_p01.jpg,1T1P,header,0,0,2,1.0
train-00338,images/train-00338_p01.jpg,1T1P,header,0,0,6,1.0
train-00348,images/train-00348_p01.jpg,1T1P,header,0,0,1,1.0
train-00348,images/train-00348_p01.jpg,1T1P,header,0,0,6,1.0
train-00465,images/train-00465_p01.jpg,1T1P,header,0,0,4,1.0
train-00534,images/train-00534_p01.jpg,1T1P,header,0,0,4,1.0
train-00559,images/train-00559_p01.jpg,1T1P,header,0,0,8,1.0
train-00578,images/train-00578_p01.jpg,1T1P,header,0,0,3,1.0
train-00334,images/train-00334_p02.jpg,1T2P,header,0,0,8,1.0
train-00342,images/train-00342_p02.jpg,1T2P,header,0,0,5,1.0
train-00398,images/train-00398_p02.jpg,1T2P,header,0,0,2,1.0
train-00438,images/train-00438_p01.jpg,1T2P,header,0,0,7,1.0
train-00531,images/train-00531_p02.jpg,1T2P,header,0,0,6,1.0
train-00544,images/train-00544_p02.jpg,1T2P,header,0,0,6,1.0
train-01027,images/train-01027_p02.jpg,1T2P,header,0,0,1,1.0
train-01042,images/train-01042_p01.jpg,1T2P,header,0,0,6,1.0
train-00312,images/train-00312_p01.jpg,2T1P,header,1,0,3,1.0
train-00329,images/train-00329_p01.jpg,2T1P,header,0,0,1,1.0
train-00401,images/train-00401_p01.jpg,2T1P,header,0,0,3,1.0
train-00410,images/train-00410_p01.jpg,2T1P,header,1,0,6,1.0
train-00422,images/train-00422_p01.jpg,2T1P,header,0,0,5,1.0
train-00446,images/train-00446_p01.jpg,2T1P,header,0,0,5,1.0
train-00527,images/train-00527_p01.jpg,2T1P,header,0,0,7,1.0
train-00587,images/train-00587_p01.jpg,2T1P,header,0,0,7,1.0
